sgRNA	Gene	CXCR4minus_Rep1	CXCR4minus_Rep2	CXCR4minus_Rep3	CXCR4plus_Rep1	CXCR4plus_Rpe2	CXCR4plus_Rpe3
2bc39232_GAC_2.7	2bc39232_GAC_2	2406.4364746475335	1898.5561346361583	1403.3428514822126	2241.599071777159	2156.8237170792436	1672.5156983037043
2bc497_GAC_5.5	2bc497_GAC_5	1815.5279134322054	1619.1298141434324	1242.777307834362	1869.0195928161486	2269.7260416194927	1667.459725817901
2bc29982_GAC_1.6	2bc29982_GAC_1	1978.414176785324	1608.8441827142524	1526.4431016122312	1970.473159857175	1992.3367097749149	1846.441151815335
2bc19598_AAC_2.7	2bc19598_AAC_2	884.5794155818996	563.1383207476099	1082.2117641865118	594.7278067922233	512.9269399371666	955.5787998168081
2bc29764_GAC_3.7	2bc29764_GAC_3	1319.7354184084793	1155.4192638778968	1227.7911904272294	564.1168167367412	1211.753397005261	1117.369919362511
2bc19514_GAC_3.5	2bc19514_GAC_3	1718.0339455858132	1734.8431677217086	1820.8132649666236	1549.7906965232642	1682.8286131904385	1333.7655417548888
NT-375	NonTargetingControlGuideForHuman-375	1049.8435805898084	552.8526893184298	574.8246462593045	870.226717291562	463.28884897550535	546.0450284667475
2bc18458_AAC_1.8	2bc18458_AAC_1	614.6875777632287	735.4226471863765	572.6837723439997	557.1200190097738	675.4673554390771	678.5115075947917
2bc8373_GAC_1.5	2bc8373_GAC_1	1060.5441380363636	1445.9883517522344	1462.216884153091	1617.1348746453248	1639.0302976360315	2039.5793007730178
2bc13270_GAC_2.8	2bc13270_GAC_2	643.2223976207093	902.5641579105529	398.202548246669	937.5708954136226	1336.3352723600185	510.65322106612496
2bc39903_GAC_1.6	2bc39903_GAC_1	1419.6072879096616	1307.132327458303	1418.3289688893453	1285.6615823302473	1381.1068838156345	1027.3736091152139
2bc38792_GAC_2.7	2bc38792_GAC_2	1463.5984685232775	1025.1345991082824	1112.1839990007772	903.4615064946568	1079.3851544408308	1693.7507827440777
2bc25320_AAC_5.5	2bc25320_AAC_5	1511.1565016190787	2319.4098872801105	1988.8718673180404	1904.8781811668562	1817.1434475572867	2146.765917472046
2bc36155_GAC_7.7	2bc36155_GAC_7	1766.7809295090092	1790.5570046297673	1136.8040490267808	1917.122577189049	1779.184907410134	786.7093187909807
2bc33631_GAC_1.7	2bc33631_GAC_1	488.65879005935585	529.7100186027747	550.2045962333008	329.7240928833355	364.0126670521828	408.5225768529
2bc10045_GAC_7.5	2bc10045_GAC_7	860.8003990339992	392.56826621370675	692.5727116010614	492.399640035326	672.54746773545	1155.7953102546155
2bc38360_AAC_4.7	2bc38360_AAC_4	1437.4415503205869	1363.7033003187937	1115.395309873734	1139.6034297798042	899.3254127171574	1012.2056916578041
2bc7169.1_GAC_11.4	2bc7169.1_GAC_11	1696.6328306927028	1730.5574879595501	1672.022527852949	1424.722937153723	1295.4568445092386	1257.9259544678405
2bc8394_GAC_2.4	2bc8394_GAC_2	571.8853479770078	628.2806531324171	478.4853200705942	585.1072099176432	537.2593374673928	612.7838652793499
NT-387	NonTargetingControlGuideForHuman-387	935.7043011598859	735.4226471863765	1209.5937621471396	852.7347229741437	1080.3584503420398	588.5151973474944
2bc1493.0_GAC_8.8	2bc1493.0_GAC_8	735.9605621575214	710.5657045658579	909.8714140044856	656.8243866190584	626.8025603786249	973.7803007656996
2bc13400_GAC_1.8	2bc13400_GAC_1	769.2511853245821	1026.8488710131458	998.7176814896295	1252.4267931271525	690.0667939572128	1091.0788624363342
2bc27410_GAC_4.4	2bc27410_GAC_4	1803.6384051582552	2051.1263341689964	1773.7140388299208	2314.190848194445	2554.9017406737426	2427.8779876827048
NT-263	NonTargetingControlGuideForHuman-263	833.4545300039135	820.2791064771122	631.5578050148782	505.51863577338975	764.0372824491002	697.724203040844
NT-122	NonTargetingControlGuideForHuman-122	627.766036864574	425.99656835854205	698.9953333469755	957.6866888786536	1379.1602920132166	970.7467172742178
2bc11198.1_AAC_6.7	2bc11198.1_AAC_6	966.6170226721565	1301.1323757912814	874.5469944019585	1007.5388726832958	1142.6493880194187	725.0264544641814
2bc39605_AAC_2.7	2bc39605_AAC_2	951.1606619160211	369.42559549805156	543.7819744873867	551.8724207145483	680.3338349451224	670.4219516175066
2bc5730_GAC_4.6	2bc5730_GAC_4	1102.1574169951896	2035.6978870252262	1125.0292424926051	1628.5046709516466	967.4561258017906	1090.0676679391736
2bc28858_GAC_3.8	2bc28858_GAC_3	586.152757905748	929.1353724359348	633.698678930183	836.9919280884671	888.619157803858	1180.0639781864709
2bc33583_GAC_1.5	2bc33583_GAC_1	1317.3575167536892	1702.2720015293048	1533.9361603157975	1305.7773757952784	1501.7955755655562	1058.7206385271936
2bc36172_GAC_1.8	2bc36172_GAC_1	873.8788581353444	2131.6971136975735	1079.0004533135548	900.8377073470441	936.3106569631011	1413.6499070305795
2bc2175_AAC_3.6	2bc2175_AAC_3	1301.901155997554	996.849112678037	891.673985724396	911.3329039374951	1001.5214823441072	972.769106268539
2bc6058_AAC_2.7	2bc6058_AAC_2	1695.4438798653077	1021.7060552985556	1247.0590556649715	1471.9513218107525	1421.0120157652054	1678.5828652866683
2bc16592_GAC_3.4	2bc16592_GAC_3	983.2623342556868	1791.414140582199	2037.0415304123956	1625.0062720881629	1880.4076811358746	1804.9821774317486
NT-652	NonTargetingControlGuideForHuman-652	1543.2581739587442	2711.978153493817	1629.2050495468554	1322.3947703968258	1696.4547558073652	2276.1988131086086
2bc6691_AAC_1.4	2bc6691_AAC_1	2594.2907053759477	2481.408582289697	2885.898037830698	2942.1534441897634	2596.7534644257316	2765.61694973436
NT-244	NonTargetingControlGuideForHuman-244	1545.6360756135343	2207.9822134639926	1842.2220041196704	1638.9998675420977	1923.2327007890726	1608.8104449825837
NT-526	NonTargetingControlGuideForHuman-526	1079.567351274684	1162.27635149735	1600.3032516902424	1080.1306491005819	1437.5580460857593	1571.39624858764
2bc21795_GAC_8.5	2bc21795_GAC_8	721.6931522287811	979.7063936294036	907.730540089181	1023.2816675689724	772.7969455599816	981.8698567429848
2bc18867_GAC_3.7	2bc18867_GAC_3	1281.6889919318385	1738.2717115314351	844.5747595876932	781.8921459885994	1212.72669290647	661.3212011430609
2bc10981.0_GAC_6.7	2bc10981.0_GAC_6	2021.216406571545	1760.5572462946589	1923.5752129012478	1856.775196793956	1993.3100056761239	1871.721014244351
