sgRNA	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
2bc28964_GAC_4.4	2bc28964_GAC_4	1423.2/1566.8/891.67	1434.3/1429.8/1740.3	1423.2	1434.3	0.011271	1.5157e+05	70842	0.041965	0.51674	0.48326	0.96653	0.99967	True
2bc3507_GAC_2.8	2bc3507_GAC_2	1199.7/1013.1/1298.4	1290.9/1209.8/1105.2	1199.7	1209.8	0.012151	22274	58958	0.041824	0.51668	0.48332	0.96664	0.99967	True
2bc38565_GAC_1.6	2bc38565_GAC_1	2060.5/2131.7/1685.9	2016/2147.1/2074	2060.5	2074	0.0094227	72668	1.0544e+05	0.0416	0.51659	0.48341	0.96682	0.99967	True
2bc21548_AAC_2.4	2bc21548_AAC_2	511.25/941.14/922.72	913.96/1290.6/492.45	922.72	913.96	-0.013747	84822	44467	0.041549	0.48343	0.51657	0.96686	0.99967	False
2bc19302_GAC_4.7	2bc19302_GAC_4	550.48/540.85/590.88	557.12/436.04/694.69	550.48	557.12	0.017256	862.34	25524	0.041535	0.51643	0.48357	0.96714	0.99967	True
2bc36155_GAC_7.7	2bc36155_GAC_7	1766.8/1790.6/1136.8	1917.1/1779.2/786.71	1766.8	1779.2	0.010088	1.9872e+05	89380	0.04149	0.51655	0.48345	0.96691	0.99967	True
2bc27023_GAC_3.8	2bc27023_GAC_3	1089.1/864.85/924.86	898.21/1007.4/916.14	924.86	916.14	-0.013645	15285	44578	0.041286	0.48353	0.51647	0.96707	0.99967	False
2bc36096_AAC_4.4	2bc36096_AAC_4	1161.6/977.99/948.41	969.06/809.78/1324.7	977.99	969.06	-0.013228	17294	47336	0.041075	0.48362	0.51638	0.96724	0.99967	False
2bc31694_GAC_5.5	2bc31694_GAC_5	592.1/544.28/586.6	579.86/417.54/929.29	586.6	579.86	-0.016644	910.53	27328	0.041021	0.48364	0.51636	0.96728	0.99967	False
2bc17183_AAC_2.7	2bc17183_AAC_2	1222.2/929.99/1219.2	1207.8/1229.3/1279.2	1219.2	1229.3	0.011828	41833	59992	0.041011	0.51636	0.48364	0.96729	0.99967	True
2bc29202_AAC_4.8	2bc29202_AAC_4	1205.6/1168.3/752.52	1178.1/1272.1/964.68	1168.3	1178.1	0.012053	87124	57302	0.040979	0.51634	0.48366	0.96731	0.99967	True
2bc17908_GAC_2.4	2bc17908_GAC_2	1649.1/1880.6/1643.1	1660.9/1872.6/1000.1	1649.1	1660.9	0.010272	26810	82996	0.040925	0.51632	0.48368	0.96736	0.99967	True
2bc6060_GAC_2.6	2bc6060_GAC_2	1326.9/809.14/1005.1	998.79/1014.2/1390.4	1005.1	1014.2	0.012896	70963	48749	0.040916	0.51632	0.48368	0.96737	0.99967	True
2bc19947_GAC_5.7	2bc19947_GAC_5	1488.6/1341.4/1683.8	1583.9/1477.5/1298.4	1488.6	1477.5	-0.010794	29884	74346	0.040721	0.48376	0.51624	0.96752	0.99967	False
2bc22179.0_GAC_8.8	2bc22179.0_GAC_8	1592/2794.3/1413	1512.2/1772.4/1580.5	1592	1580.5	-0.01046	7.3874e+05	79913	0.04071	0.48376	0.51624	0.96753	0.99967	False
2bc21524_AAC_2.7	2bc21524_AAC_2	171.21/924.85/336.12	341.09/138.21/657.28	336.12	341.09	0.021142	1.869e+05	15022	0.040605	0.51471	0.48529	0.97057	0.99967	True
2bc11347_AAC_1.6	2bc11347_AAC_1	325.77/524.57/532.01	530.88/699.8/389.31	524.57	530.88	0.017231	19787	24235	0.040564	0.516	0.484	0.96801	0.99967	True
2bc29089_AAC_3.4	2bc29089_AAC_3	1265/1193.1/951.62	1183.3/1305.2/641.1	1193.1	1183.3	-0.011889	31750	58613	0.040479	0.48386	0.51614	0.96771	0.99967	False
NT-71	NonTargetingControlGuideForHuman-71	2758.4/1764/2257.6	2271.3/1999.1/2318.7	2257.6	2271.3	0.008778	2.4721e+05	1.1632e+05	0.040415	0.51612	0.48388	0.96776	0.99967	True
2bc20078_GAC_1.6	2bc20078_GAC_1	1343.5/1219.7/976.24	1111.6/1209.8/1459.2	1219.7	1209.8	-0.011745	37302	60018	0.040401	0.48389	0.51611	0.96777	0.99967	False
